city,total_orders,total_revenue
GURU HAR SAHAI,2,1038.0
Mangaon,2,1036.0
siliguri,1,1036.0
JEWAR,2,1036.0
Kolhar-bhagwatipur,1,1036.0
Marcel,2,1035.0
Vellakoil,2,1034.0
Anakapalli,2,1034.0
Vilangad,2,1034.0
"Puttaparthi, Anantapur District",2,1034.0
UTTAR MADARIHAT,1,1033.0
Lakhimpur kheri,2,1033.0
ASSANDH,2,1033.0
Kudasan,2,1033.0
KALLUR,1,1033.0
dimapur,1,1033.0
Pallipuram,2,1032.0
EDACHERI,2,1032.0
PATHARDIH,2,1032.0
DODA,2,1031.0
"Bapu Nagar, Sanjeeva Reddy Nagar, HYDERABAD",2,1031.0
Silvasaa,1,1031.0
RAWAN AMBUJA CEMENT PLANT,2,1031.0
Payimbra,2,1031.0
madurai,2,1030.0
NTPC SIPAT TOWNSHIP,2,1028.9
Bhuban,2,1026.67
IRIVERI,2,1025.0
Verna Goa,2,1025.0
Belgaum,2,1025.0
Mukerian,2,1022.86
Singtam,2,1021.0
Betalbatim,2,1019.0
Nerul NAVI MUMBAI,1,1018.0
RAMGARH SIKAR DISTRICT,1,1018.0
CHAMBENAHALLI SARJAPURA ROAD BANGLORE,2,1016.0
Srinagar Garhwal,3,1016.0
Janakpuri,2,1015.95
Davanagere,2,1014.0
Chattukappara,2,1014.0
PENTAPADU,2,1013.0
Kayamkulam,2,1013.0
SOBHAGANJ,2,1013.0
BANKIMNAGAR,2,1011.0
RAGHUNATHGANJ,2,1010.43
KAILASAGIRI,2,1009.38
BADHARGHAT,2,1009.0
BARBIGHA,2,1009.0
DHARAMSALA,2,1008.0
"URMAR TANDA, Hoshiarpur",1,1005.36
PERUMANDI,2,1005.0
Chandkheda,2,1003.0
Ulhasnagar 421004,3,1002.14
NERAL,2,1002.0
TIRUNELVELI DISTRICT,2,1001.0
CHENNITHALA,1,999.0
SAHAWAR,1,999.0
Kesarval,1,999.0
Raha town,1,999.0
Caranzalem - Tiswadi,1,999.0
LAKHNA,1,999.0
idukki,1,999.0
MALLANWALA KHASS,1,999.0
moujpur NEW DELHI,1,999.0
Karambakkam porur CHENNAI,1,999.0
KATRA SHAHJAHANPUR DISTRICT,1,999.0
Ulhasnagar 1,1,999.0
PANDARIA,1,999.0
"Hanuman Nagar,Patna",1,999.0
SHOGHI,1,999.0
KARANPUR,1,999.0
Paratwada,1,999.0
MUTHIALPET,1,999.0
GULAOTHI Distt. Bulandshahar,1,999.0
Surathkal,1,999.0
CHANDRAKONA,1,999.0
PANIPAT REFINERY TOWNSHIP,1,999.0
"CHANDANNAGAR, District - Hooghly",1,999.0
irinjalakuda,1,999.0
Kothagudem,1,999.0
"Narwana, Jind",1,999.0
Dakshin deogaon,1,999.0
Dolvan,1,999.0
HARNAUT,1,999.0
"Pulivendula, kadapa",1,999.0
Barhalganj,1,999.0
Shahganj,1,999.0
"HIRIYUR, chitradurga district",1,999.0
TASAWADE MIDC,1,999.0
PALGHAR( East),1,999.0
Zirakhpur,1,999.0
BENGALURU-28,1,999.0
Mahasla,1,999.0
PERIYAMANALI,1,999.0
Gadarpur,1,999.0
Visakhapatanm,1,999.0
Thakurli East,1,999.0
KHUTAR,1,999.0
PATHARDI,1,999.0
THOOTHUKUDI,1,999.0
NOIDA sector 75,1,999.0
KHARAR,1,999.0
TEGHRA,1,999.0
Thiruvegappura,1,999.0
"Mettur, Salem",1,999.0
"Mallital, Nainital",1,999.0
Padrauna,1,999.0
"Polur Taluk, Thiruvannamalai District, 606903",1,999.0
VIRAR west,1,999.0
KOLKATA 700036,1,999.0
fatehabad,1,999.0
AZARA,1,999.0
Kinnigoli post Talipady,1,999.0
Kathgodam (haldwani),1,999.0
"Sivasagar,sunpura gohain gaon",1,999.0
NEW DELHI 110075,1,999.0
Kisanganj,1,999.0
MITHAPUR,1,999.0
BASUDEVPUR,1,999.0
KaNdivali est MUMBAI,1,999.0
Andaman and nicobar islands port Blair,1,999.0
VILE BHAGAD MIDC,1,999.0
GOHPUR,1,999.0
Bhatkal,1,999.0
"Ollur, Thrissur",1,999.0
Uttarkashi,2,998.0
New DELHI,2,998.0
ARAMBOL,2,998.0
Mudhole,2,998.0
CHOPDA,2,998.0
Gachibowli / Hyderabad,2,998.0
"Hyderabad,Rangareddy",2,998.0
BHINDER,2,998.0
hoshiarpur,2,998.0
BURHANPUR,2,997.0
Najibabad,2,996.0
Samana,1,995.0
PAMARRU,2,995.0
"Thane West, Mumbai",2,995.0
Nirmal,2,994.0
"Manipal,Udupi",2,994.0
KALYANDURG,2,993.0
AHMED NAGAR,3,993.0
PALAKONDA,2,992.0
RAMPUR MANIHARAN,2,990.0
INDUSTRIAL GROWTH CENTRE THIMMANAPALEM,1,989.0
Nerul (EAST),1,989.0
PIPIGANJ,1,989.0
PUNEpune,1,989.0
MAPUSA guirim,1,989.0
DEVARKADRA,1,989.0
"Pattambi, Palakkad",1,989.0
Damoh,1,988.0
nellore,2,988.0
KARELI,2,988.0
"Faridpur,BAREILLY",1,988.0
Chinsurah,1,988.0
PUNE411002,2,988.0
Nalasorapra (E),1,988.0
Thrikkakkara,1,988.0
"Thrikkodithanam P O, CHANGANACHERRY",2,988.0
"Bangihati, Po-Mallickpara,Serampore",1,988.0
"anna Nagar west, chennai",3,987.0
"Ramanagara Taluk ,Bidadi",2,986.6600000000001
KOLKATA - 700028,2,986.0
Porbandar,2,986.0
West Delhi,2,986.0
NAWABGANJ UNNAO DISTRICT,2,985.0
"Baiguinim, Old goa",1,984.0
Jalna,2,984.0
"Madeenaguda, Chandanagar, Hyderabad",3,984.0
Tumgaon,2,982.0
RENGALI DAM PROJECT TOWNSHIP,1,981.25
Naigoan east,2,981.0
KATWA,2,979.5699999999999
DHAR KALAN,1,979.0
PARIKSHITGARH,1,979.0
THANE. West,1,979.0
calicut,1,979.0
Tri nagar,1,979.0
"Dombivali MIDC, Thane",2,979.0
Golaghati,2,979.0
TRIBENI,2,979.0
Malkajgiri,3,977.0
Bihar,1,976.0
Nainital,2,975.0
GOBINDPUR,2,975.0
UTRAULA,2,975.0
vaniyambadi tirpattur district,2,974.0
BENGALURU-97,2,974.0
Sevagram,2,974.0
HADGAON,2,974.0
BHOGNIPUR,2,973.0
MULTAI,2,972.0
Secunderabad.,2,971.0
ASARGANJ,1,969.0
GOBINDPUR dhanbad,1,969.0
ALA,1,969.0
"Pimpri-Chinchwad,",1,969.0
Pimpri-chichwad,1,969.0
Casne-Amberem-Poroscadem VP,1,969.0
DAUND Pune,1,969.0
"KALYAN, THANE",1,969.0
Kotekar,1,969.0
ALLAHGANJ,1,969.0
R UDAYAGIRI,1,969.0
KUTIYANA,1,969.0
Contai,1,969.0
Attabira Dist- Bargarh,1,969.0
Kanjirapilly,1,969.0
Bakulia,1,969.0
Garhi Harsaru,1,969.0
Vishrambhag sangli,1,969.0
SRUNGAVARAPUKOTA,1,969.0
"PHONDAGHAT, kankavli",1,968.0
KARNAPRAYAG,1,968.0
AWANTIPORA,1,968.0
DULDULA,1,968.0
YELLAPUR,2,968.0
Mihijam,1,968.0
NEW DELHI 110016,1,968.0
Sunam,1,968.0
Hydrabad,1,967.0
"Dudahi, KUSHINAGAR",1,967.0
"Jillelguda , Meerpet , HYDERABAD",2,967.0
CHHAPI,2,967.0
KRISHNA district,1,967.0
MAHASAMUND,1,967.0
TALALA,2,967.0
Kalmassery,1,967.0
BALIKUDA,1,967.0
Belgharia,2,967.0
Kottagoundampati,1,967.0
Allagadda,1,967.0
VIJAYAPURa,2,966.4300000000001
UMLING,2,966.0
HALVAD,1,965.0
Bheemunipatanm,2,965.0
Garobadha,2,965.0
Ichhapur,2,964.0
NATEPUTE,2,962.81
BUDGAM,2,962.0
Jogbani araria bihar,1,962.0
"Triplicane,CHENNAI",1,962.0
Armori,2,961.86
Nagarkurnool,2,961.0
Ribandar,2,960.0
Gola cholapur varanasi,1,959.82
Rasayani,1,958.0
CHANNAGIRI,1,958.0
Mokokchung,1,958.0
"Banaganapalli, kurnool",2,958.0
Kelambakam,2,957.0
durg,2,956.0
"Bhayander (E), Thane",2,956.0
PATHANKOT ( MAMUN ),1,955.0
"Pub Daniram Pather,Hojai",1,955.0
Rajam Srikakulam District,2,955.0
Mhow gaon,1,955.0
Thane east,2,954.0
"Bandra East, Mumbai",2,954.0
"ALURU ,Hassan district",1,953.57
Chakdaha,2,953.0
BAKRESHWAR THERMAL POWER TOWNSHIP,2,951.4300000000001
THALAKKULATHUR fresh bakery,1,951.43
"Asansol, West Barddhaman",2,950.0
City -dharuhera,1,950.0
Palamaner,1,950.0
.azamgarh,1,949.0
"Raxaul, East Champaran, PIN-845305",1,949.0
MIDNAPORE,1,949.0
"GAUTAM BUDDHA NAGAR,noida",1,949.0
AVALAPALLI,1,949.0
Anchal,2,948.52
"PIMPRI CHINCHWAD, PUNE",1,948.0
Sivasagar,1,948.0
Alipurduar,2,948.0
"Pattambi,Palakkad",1,948.0
RATNAPUR,2,946.0
Tanjavur,2,946.0
Kamtaul,3,945.0
Dombivli(E),2,945.0
"Vallioor via, Tirunelveli district",2,944.0
KUDCHI,2,944.0
purnea,2,942.0
BHILAD,2,942.0
Vellangallur,1,942.0
KURWAI,1,941.0
DHAKA,1,940.95
Korukonda,1,940.0
shivamogga,2,940.0
Chopda,1,939.0
PILANI,1,939.0
BOKAJAN,2,939.0
"Hyderabad, Telangana",2,939.0
Mulund w,1,939.0
NELLORENellore,1,939.0
Katol,1,939.0
"Begumpet, Hyderabad",1,939.0
vizianagaram,2,938.0
ERAVATTUR,2,938.0
GURUGRAMGurgaon,2,937.0
Paonta Sahib,2,936.0
"Goregaon East, Mumbai -  400097",3,936.0
Kathor,2,936.0
KARIYANGALA,2,935.0
Ganj Dundwara,2,934.0
NAOBAICHA,2,933.0
KOYRA,2,933.0
BARKAKANA,2,932.0
Dist una,2,932.0
7BARASAT,2,931.0
PONNAMARAVATHI,2,930.0
Greater NOIDA west,2,930.0
Sarkaghat,1,930.0
Tiruvannamalai,2,929.0
GAURELA,2,928.0
SALCETE,2,927.0
AMBIKANAGARA,2,926.0
KATTUMANNARKOIL,2,926.0
Jalpaiguri,2,926.0
sultanpur,2,925.0
ARWAL,1,925.0
Calangute,1,925.0
"P.O.-RAHARA , P.S.-KHARDAH.",1,925.0
DHARAMPUR INDUSTRIAL ESTATE,2,924.0
VETTAIKARANPUDUR,2,922.0
THALLUR,1,922.0
Kayalpattinam,1,921.0
Davorlim,1,920.0
Rishra Hooghly,3,920.0
GAGRET,2,918.0
TANGI,2,918.0
kalyan (w),2,917.0
SODPUR,2,917.0
RANGJULI,2,917.0
SAFIDON,2,916.14
VIRPUR,1,916.0
Jaitpuri patelpara,1,916.0
Greter Noida,1,916.0
Anjar,2,916.0
ILAMPILLAI,2,916.0
Hailakandi,2,915.0
Bagalkote,2,915.0
Vasco da gama,2,914.0
Kurla West Mumbai,2,914.0
Mylavaram,2,913.0
srikakulam,2,913.0
RAHATA,2,913.0
FARAKKA PTS TOWNSHIP,2,912.0
KURUD,2,911.0
BIHTA BEGUSARAI DISTRICT,2,911.0
PEDANA,2,910.3299999999999
Delhiq,2,910.0
Bengaluru east,2,910.0
HYhyderabad,1,909.0
NEW DELHI 110058,1,908.0
Munagapadu,1,908.0
"Pallikaranai, Chennai",1,908.0
Pilibhit,1,908.0
parvathipuram,1,908.0
CHAUMUHAN,1,908.0
KARUR - 6,2,906.24
Jathlana,2,906.0
DWARAHAT,2,906.0
BICCAVOLU,2,904.0
PAZHUGAL,2,903.1
BAHIRGRAM,2,903.0
COLONELGANJ,3,903.0
New panvel,2,902.0
SHANKARAMPET A,2,901.0
BARHALGANJ,2,900.0
"Kaggalipura, BENGALURU",1,899.0
BHIMTAL,1,899.0
BIKANER 9680830319,1,899.0
"SARDARSHAHAR ,churu",1,899.0
BHULEPUR,1,899.0
SIDDHAUR,1,899.0
Taleg��on Dabhade Pune,1,899.0
"Kakkodi mukku,kannadichal road",1,899.0
Uttarpara,1,899.0
Shahdol,1,899.0
REDHAKHOL,2,899.0
"pune, maharashtra",1,899.0
Sriganganagar,1,899.0
Thane Central,1,899.0
"MILAK, rampur",1,899.0
"HOSPITAL JN,ELAMPALOOR",2,899.0
Tisk-Usgao,1,899.0
Leimakhong,1,899.0
"Tal-ALIBAG, Dist - Raigad, pin 402201",1,899.0
KURNOOL dist,1,899.0
Masuda,1,899.0
"S. Ramalingapuram,VIRUDHUNAGAR DISTRICT",1,899.0
Rayachoty,1,899.0
Velsao falvaddo,1,899.0
karanja lad,1,899.0
"Mitrol,palwal",1,899.0
Idar,1,899.0
Derlakkatte,1,899.0
BAREJA,1,899.0
Tiruvarur,1,899.0
Inkollu,1,899.0
Nandikotkur,1,899.0
Shanivarsante,1,899.0
NAGARAM,2,898.0
Perambalur,2,898.0
BABRALA,2,897.0
TCPIMPRI CHINCHWAD,2,897.0
Bangalore South,1,895.0
Madappally college,1,895.0
GANGNAPUR,1,895.0
GYANPUR,2,895.0
BABERU,1,895.0
Vasco-Da-Gama,1,895.0
Bareli,1,894.29
Hyderabad.,2,894.0
Kaij,2,894.0
nellore city,2,893.0
BEGUSARAI DISTRICT,2,893.0
MULLASSERY,2,891.0
ACHANTA,2,891.0
PURULIA I,2,889.62
"Thiruvalla, PATHANAMTHITTA",1,889.0
RANGAPARA,2,889.0
VILLIAPPALLY,1,889.0
KISHANGARH RENWAL,1,888.0
BALUGAON,1,888.0
CHHOTA UDAIPUR,1,888.0
MUMBAI 400063,1,888.0
PACHMARHI,1,888.0
Chittoor District,1,888.0
PHIRANGIPURAM,1,888.0
Roorkee road Meerut,1,888.0
VIRAR West,1,888.0
"MELUR, Madurai (DT)",1,888.0
Musabani,1,888.0
Jhansi Cantt,1,888.0
SARA INDUSTRIAL ESTATE,1,888.0
KARNAWAL,1,888.0
AGAR Malwa,2,886.0
RAVULAPALEM,2,886.0
Dombivli (E),3,886.0
Dhaniyanicheruvu.village,1,886.0
Pauri,2,886.0
SUNDARAPANDIAM,2,886.0
CHANDIGAR,4,886.0
PAURI GARHWAL,2,886.0
LALRU,2,886.0
"Shankerpally, R.R.Dist",1,885.0
JAKHALMANDI,1,885.0
NILGIRIS,1,885.0
BANAGANAPALLE,1,885.0
"Sector - 15 , Rohini",1,885.0
choutuppal,1,885.0
NEW DELHI dwarka secter 6,1,885.0
TALWANDI SABO,1,885.0
KALABURGI 585102,1,885.0
sriganganagar,1,885.0
SIRA,1,885.0
"NEW TOWN , Kolkata",1,885.0
BIJAULI INDUSTRIAL AREA,1,885.0
Kunnamangalam,1,885.0
Navimumbai,1,885.0
KOLKATA 700078,1,885.0
"KOLKATA,sinthi",1,885.0
"NADATHARA, Thrissur",1,885.0
SANTALDIH,1,885.0
CHAKIA chandaulu,1,885.0
East Godavari,1,885.0
Ambala city,1,885.0
"Allapra, Perumbavoor",1,885.0
"Vadodara, Vadodara",1,885.0
sojat city,1,885.0
Anekal,1,885.0
KORA JAHANABAD,1,885.0
NAGIREDDIPALLE,2,885.0
Harihar,1,885.0
Purba Bardhaman,2,885.0
AHMADNAGARA,1,885.0
Ambalapuzha,1,882.0
POWAYAN,2,882.0
Pune-411028,1,881.0
Kohima,1,881.0
DIST-KORAPUT,1,881.0
Jayashankar bhupalpally,2,880.0
Surajgarha,1,879.0
NEW DELHI 45,1,879.0
EDAVILANGU,2,879.0
Bhupalpalle,2,878.0
"Kinnigoli,mangluru",1,877.0
unnao,1,877.0
PAPPIREDDIPATTI,2,877.0
Sanand,1,877.0
Balipatna,2,876.62
Sundernagar,2,876.62
Sipajhar,2,875.0
Moshi Pradhikaran,2,875.0
Patiyala,2,874.0
NALLAMPATTI,2,874.0
"KRISHNARAJPET, KRISHNARAJPET TQ.,MANDYA DIST.",1,874.0
Raipur tehsil pirawa District Jhalawar,1,872.0
SASWAD,1,872.0
SHIMLA-717009,1,872.0
MIHAN,2,871.0
UNNAMALAIKADAI,1,871.0
SHAHKOT,2,871.0
WCL UMRED,2,870.0
BULDHANA,2,870.0
BANKI MONGRA,2,870.0
Kalpi,2,870.0
Sahakar Nagar PUNE,2,870.0
"FARIDABAD, Sector-91",1,870.0
NAVALGUND,2,870.0
Paschim MEDINIPUR,2,870.0
MALAVALLI,2,870.0
Kodambal,2,870.0
Ambarnath (west),1,869.0
NEW DELHI 110070,1,869.0
Eroor  kochi,1,869.0
LINGAPALEM,2,869.0
"CBD belapur , Navi Mumbai",1,869.0
ANAND NAGAR,2,868.38
OLAVANNA,2,868.0
Kakkanad west,2,868.0
PUNE 411041,2,867.0
"Eravipuram,Kollam",2,867.0
PEDAPUDI,2,867.0
Cansaulim,2,866.0
Karaikal,2,866.0
Andheri east,1,864.0
Guduvancherry,1,864.0
LUCKNOWlucknow,2,864.0
Mundara,2,862.86
PILLANALLUR,2,862.0
Chenguvetty,2,860.0
Vasai Road,1,859.0
APPAKUDAL,1,859.0
NARSINGARH,1,859.0
SOPORE,1,859.0
INDUSTRIAL ESTATE BARWALA,1,859.0
Mumbai 400067,1,859.0
Pulamanthole,1,859.0
TUFANGANJ,2,859.0
"NAUTANWA, Maharajganj",1,857.0
CHANDVAD,2,857.0
DHARAMSHALA,1,857.0
"Kanuru, Vijayawada",1,857.0
"palayamkottai ,tirunelveli",1,856.19
Rampura Beri,1,856.19
BILSI,1,856.19
KANDAGHAT,1,856.0
Ramghar,1,856.0
Balapallam,1,855.24
"Haldia, East Madnipur",1,855.0
"PUDUPATTINAM,kalpakkam",1,855.0
Pipili,1,855.0
Bantwal T.q.,1,855.0
ATHUR THOOTHUKKUDI DISTRICT,1,855.0
MANDAVALLI,2,855.0
KUNDA,1,854.0
CHENNIMALAI,1,854.0
MANNANCHERY,1,854.0
MALKANGIRI,2,852.4300000000001
zirakpur,1,852.0
Banki barabanki,1,852.0
"PARVATHIPURAM, Vizianagaram dist",1,852.0
NAI LEDRI,1,852.0
TRIPURANTHAKAM,1,852.0
DEGLUR,1,852.0
DUVVUR,1,852.0
Nalasopara,1,852.0
jamnagar,1,852.0
SHIRUR KASAR,1,852.0
Laxmi Nagar,1,852.0
WAKNAGHAT,1,852.0
"VALSARAVAKKAM,CHENNAI",1,852.0
PIMPLE gurav,1,852.0
Saligrama,1,852.0
Khaperkheda,1,852.0
NAYA RAIPUR,1,852.0
kalyan west/ dist thane,1,852.0
VITTAL,1,852.0
Pathankot lamini,2,851.0
BIRUR,2,851.0
KOLHAR,1,850.0
SOUTH ANDAMAN,1,850.0
Beltola GUWAHATI,1,850.0
KONCH,1,850.0
dombivili east,1,850.0
NIZ HAJO,1,850.0
Majgao SAWANTWADI,3,850.0
THEKASHU PT II,1,850.0
Dhauli payu ...MATHURA,1,850.0
BARASAT - I,1,850.0
Ahmedanagar,1,850.0
Rajarhaat,1,850.0
LANSDOWNE,2,848.0
Kandivali (W),1,848.0
PUDUCHERRY 605003,2,848.0
tindivanam,2,848.0
Begusarai,2,848.0
KHATEGAON,2,848.0
sundernagr,1,847.0
Rosera,1,847.0
upleta,1,847.0
Tadepalligudem,1,847.0
"Navalur, Chennai",1,847.0
Karkal,1,847.0
Puri,2,847.0
Puthuparamba,1,847.0
PUNE-411014,2,846.0
Jaunpur,2,846.0
Gollaprolu,1,845.0
Thallapalem,1,845.0
PANDUAL,2,845.0
CHINNALAPATTI,2,845.0
KANDANASSERY,1,845.0
TALEGAON DABHADE Pune,1,845.0
Yamuna Vihar,1,845.0
Kodungallur,1,845.0
Rani block,1,845.0
KAVARATTI,1,845.0
derabassi,1,845.0
SADULSHAHAR,1,845.0
"THANE(W), thane",1,845.0
Havelock,2,844.0
GHATAMPUR,2,844.0
Menhdawal,1,842.86
NADUVATTAM,1,842.86
EDAPPADI,1,842.0
VENNANTHUR,1,842.0
"Manmad, dist- Nasik",2,841.95
Kadungalloor,1,841.0
LEATHER COMPLEX INDUSTRIAL AREA,2,841.0
PERALASSERI,2,838.0
RON,1,837.0
Ramnagar varanasi,1,836.0
Siruseri,1,835.0
Matelli,1,835.0
"Ellora Park, Vadodara",1,835.0
Vijayapur,1,835.0
Kayankulam,1,835.0
Adoni,1,835.0
BAKSHI KA TALAB,1,835.0
Kengeri,1,835.0
kottayam,3,835.0
doddaballapur,1,835.0
GOTAN,1,835.0
Dombivli(east),2,835.0
New Perungalathur,1,835.0
GHATAL,2,834.0
FAZI NAGAR,2,834.0
Belghria,2,834.0
"Kottakkal, malappuram",1,833.0
Hebri,1,832.0
Mohal,1,832.0
Barmana,1,832.0
SULLURUPET,2,832.0
"Medical college , calicut",1,832.0
thirupathi,1,832.0
satna,1,832.0
Kodungalur,1,832.0
Palakkad kerala,1,832.0
.Gannavaram,1,832.0
FATEHNAGAR,2,832.0
NILOKHERI,2,831.0
PATTI,2,831.0
"somanur, coimbatore",3,830.0
NASHIK 422003,2,828.0
MYDUKUR,1,828.0
RISOD,2,828.0
PARNER,2,828.0
Darbhnga,1,828.0
Portbair,1,828.0
Jp nagar 8th phase,1,828.0
Pal road Jodhpur,1,828.0
Baleshwar,3,828.0
New Panvel,2,828.0
Matampally,1,828.0
sirhind,1,828.0
"BARRACKPORE , KOLKATA",2,828.0
panaji,2,826.0
"Brahmavar, Udupi",1,825.0
Hospet,1,825.0
KAKDIHI,1,825.0
"Vashi Koparkhairane Road, NAVI MUMBAI",1,825.0
Ferozpur cantt,1,825.0
NEW DELHI-110075,2,825.0
Kalpeni,1,825.0
THANE(near KALYAN),1,825.0
Nawanshahar,1,825.0
Lathi,1,825.0
"Taluka-SHAHAPUR , Dist- Thane",1,825.0
CHALTIA,2,825.0
yellapur,1,824.0
Cuttack Sadar,1,824.0
Badshahpur Gurgaon,1,824.0
Gariyadhar,1,824.0
Nandivaram Guduvancheri,1,824.0
"NANDIVARAM GUDUVANCHERI,",1,824.0
RASAYANI,1,824.0
"ERNAKULAM, KOLENCHERY",1,824.0
"ERNAKULAM, Kochi",1,824.0
Natrampalli,1,824.0
"KOTDWARA,pauri garhwal",1,824.0
KOLKATa,1,824.0
Jajur road,1,824.0
MUSTAFABAD,1,824.0
Sindhanur,1,824.0
KATHHARA,1,824.0
"Magarpatta city , Pune",1,824.0
BORAWAR,1,824.0
Dakshina kannada district,1,824.0
Chengalpet,1,824.0
Saifai,1,824.0
GANGAKHED,1,824.0
"Kalewadi,pune",1,824.0
Dewas,1,824.0
DANDELI(uttar kannada),1,824.0
GUA,1,824.0
MANIPURA Dendoorkatte,1,824.0
badarpur,1,824.0
NASPUR,1,824.0
Bengaluru South,1,824.0
Lanjigarh Road,1,824.0
Chhindwara,2,823.0
SUFIPIND,2,822.0
CHANGLANG,2,821.0
"Murbad,Thane",1,820.0
agartala,1,818.0
boisar,1,817.0
Chitrakoot,1,814.0
HANSKUNDA,2,814.0
NOIDA Extension (Greater Noida West),1,814.0
Bhayandar east,2,813.0
"Kharghar,NAVI MUMBAI",2,813.0
Kallara/ Kottayam,2,812.0
ANDIPATTI,2,811.0
AVERSA,2,809.0
Cheyyar,2,808.0
khetri nagar jhunjhunu,2,807.0
"North Paravur,Ernakulam",1,807.0
DEULIA,2,807.0
BENGALURU 560064,1,807.0
BARA JUMLA,2,806.3299999999999
Sivakasi,3,804.0
RAJAMAHENDRAVARAM,2,804.0
Udaipurwati Jhunjhunu,1,802.0
Dist Alipurduar,1,801.0
Chirkunda,1,801.0
ahemadabad,1,801.0
"PANDHURNA,",1,801.0
"Santa Cruz, Ilhas",1,801.0
GORMI,1,801.0
Assonora,1,801.0
GANGTok,1,801.0
LEHRAGAGA,1,801.0
THIRUVERUMBUR,2,801.0
Bopal ahmedabad,1,801.0
Ngo quarters,1,801.0
"Thaiyur, Kelambakkam",2,800.0
"Airoli, Navimumbai",1,799.0
SHIROL,1,799.0
Chiraiyakot Mau,1,799.0
TERDAL,1,799.0
Calicut Dist,1,799.0
Pedaamiram,1,799.0
Garawand,1,799.0
Payakaraopeta,1,799.0
DAHANU West,1,799.0
Piali,1,799.0
Chakluwa kaladhungi,1,799.0
Kasol,1,799.0
Chathannoor,1,799.0
"Near TMCAA AUDITORIUM,Medical college, Thrissur",1,799.0
SUKHIA POKHARI,1,799.0
"Chembur (East), Mumbai",1,799.0
RAIGARH MH,1,799.0
Venmony,1,799.0
RAMPUR BUSHAHR,1,799.0
Irala,1,799.0
Neduva,1,799.0
ambala cantt,1,799.0
Dharmadom,1,799.0
Pangode,1,799.0
NORTH PAROOR,2,798.0
"Baramati,Pune",2,798.0
diamond harbour,2,798.0
thanjavur,2,798.0
Haldia,2,798.0
BENGALURU 560043,2,798.0
ONGALLUR I,2,798.0
kaithal,2,798.0
"Sanpada,Navi Mumbai",1,798.0
"Selaiyur, Chennai",1,798.0
Dehardun,2,798.0
Amravati.,2,798.0
Pachora,1,798.0
MANGALAGIRi,2,798.0
Kulasekarapuram,1,798.0
PONKUNNAM,2,798.0
ARJUNDA,2,798.0
YANAM,3,798.0
"Andheri West, Mumbai",2,797.9
BARAULI,1,797.0
KELAMBAKKAM,2,797.0
SHENKOTTAI,2,796.0
Airoli Navi Mumbai,1,794.0
THEKKUMKARA,2,792.76
Pirna,2,792.0
"Goregaon (West), Mumbai",1,792.0
new Chandigarh,1,792.0
"Alapuzha,kayamkullam",1,792.0
ADDANKI,1,791.0
Hasanpur,1,791.0
THAKURDWARA,1,791.0
CHINCHWAD,1,791.0
HARINDANGA,1,791.0
VAPI valsad,1,791.0
"ANDHERI EAST, MUMBAI",1,791.0
THIRUVARAMBU,1,791.0
GOREGAON WEST,1,791.0
Kalwa-Thane,1,791.0
"Miyapur, Hyderabad",1,791.0
NEW DELHI 110076,1,791.0
Kulathummal,1,791.0
bijapur,1,791.0
kothagudem,1,791.0
MALKAJGIRI,1,791.0
tirunelveli,1,791.0
VEDARANYAM,1,791.0
Shivamoga,1,791.0
Jatani,1,791.0
Dharapuram,1,791.0
Nagapattinam,1,791.0
Narasaropet,1,791.0
RAASI CEMENT FACTORY WAZIRABAD,1,791.0
BINDKI FATEHPUR,1,790.0
GaNdhinagar,1,790.0
RAMGANJMANDI,1,790.0
Sidhpur,1,790.0
kanigiri,1,790.0
IIE INDUSTRIAL ESTATE TATASU MAZADI,1,788.0
CHANDPUR NORTH TWENTY FOUR PARGANAS DISTRICT,1,788.0
indapur,1,788.0
nashik,1,788.0
Along,1,788.0
Jakhaura talbehat,1,788.0
"Kausa, Mumbra",1,788.0
BAHADURPUR,1,788.0
malegaon,1,788.0
"Bhubaneswar, 751003",1,788.0
secunderabad 500094,1,788.0
MAHRONI,1,788.0
Garoth,1,788.0
SONGADH TAPI DISTRICT,1,788.0
"MOGRA BADSHAHPUR, jaunpur",1,788.0
BIJAINAGAR AJMER DISTRICT,1,788.0
MAHE,1,788.0
Old alwal  secunderabad,1,788.0
Sanpada,1,788.0
RAJGARH ALWAR DISTRICT,1,788.0
"Patna, Patna",1,788.0
"Gahunje, Pune",1,788.0
BIJURI,1,788.0
"Mathura, Vrindavan",1,788.0
Mandsour,1,788.0
Rajarhat NEW TOWN Action Area 3,1,788.0
Vadnagar,1,788.0
Belda,1,788.0
SARAN,1,788.0
Dabi,1,788.0
SWAROOPGANJ,1,788.0
Nandurbar District,1,788.0
PANDHANA,1,788.0
SOHNA ROAD,1,788.0
SATGHARA,1,788.0
Bavdhan PUNE,1,788.0
paripally,1,788.0
Murugeshpalya Bangalore,1,788.0
Vaibhawadi,1,788.0
Nagrota Bagwan,1,788.0
joshi road karol bagh new Delhi,1,788.0
"karukachal, kottayam",1,788.0
karnal,1,788.0
"Thaikkattukara P O, Aluva",1,788.0
SIKANDRA RAO,1,788.0
Milakpur,1,788.0
VEERAVANALLUR,2,788.0
WANKANER,1,788.0
Anantnag,1,788.0
chrompet,1,788.0
KANTH MORADABAD DISTRICT,1,788.0
AUSA,1,788.0
